fiscal_year,jurisdiction,has_observed_data,total_medicaid_expenditures,mfcu_grant_expenditures,total_recoveries,staff_on_board
2020,Colorado,yes,10111347066,2569759,4751573,20
2020,Connecticut,yes,8828397755,2615312,24599831,11
2020,Delaware,yes,2457762125,2190363,4077365,17
2020,Florida,yes,25934002549,17516441,15479391,137
2020,Georgia,yes,11824015543,5015516,23697695,46
2020,Hawaii,yes,2431846083,2031137,694731,14
2020,Idaho,yes,2615497366,870155,233355,9
2020,Illinois,yes,23327206246,8640571,28889705,42
2020,Indiana,yes,14782137306,7873145,16089126,59
2020,Iowa,yes,5963241908,1051704,3894120,7
2020,Kansas,yes,4058615572,1812979,850540,15
2020,Kentucky,yes,12190888589,3915670,32965744,29
2020,Louisiana,yes,12905575681,7830383,19904196,67
2020,Maine,yes,3355498470,1270805,16084974,9
2020,Maryland,yes,12425976656,5258795,35106576,35
2020,Massachusetts,yes,18927715647,6110567,50208325,38
2020,Michigan,yes,19779677237,5419593,15567043,31
2020,Minnesota,yes,14364508821,3211651,10542342,25
2020,Mississippi,yes,5769034193,3186244,3917355,35
2020,Missouri,yes,11335088386,2453267,9459042,22
2020,Montana,yes,2094512201,678503,812998,6
2020,Nebraska,yes,2458632699,1227186,1552196,10
2020,Nevada,yes,4315178538,2486381,5157562,17
2020,New Hampshire,yes,2370525838,798163,2303324,6
2020,New Jersey,yes,17475504898,3973143,17105221,29
2020,New Mexico,yes,6584282166,2711628,6449922,22
2020,New York,yes,72816196684,50111036,181015314,267
2020,North Carolina,yes,15607811031,5668883,27871589,48
2020,North Dakota,yes,1374445441,698171,184015,5
2020,Ohio,yes,26187237969,13701708,75341136,104
2020,Oklahoma,yes,5173834353,2311631,20626562,25
2020,Oregon,yes,11197091390,2565874,2017947,14
2020,Pennsylvania,yes,36002255104,10699497,60620845,72
2020,Rhode Island,yes,2961434109,1255423,5868498,10
2020,South Carolina,yes,7031608207,1615842,8104192,14
2020,South Dakota,yes,982499940,479276,810831,5
2020,Tennessee,yes,12258135031,7826023,44456267,59
2020,Texas,yes,43297652683,21655107,74435337,161
2020,Utah,yes,3264010842,2351573,2473344,15
2020,Vermont,yes,1795293573,957670,11733234,6
2020,Virginia,yes,10378177032,11483807,28546778,92
2020,Washington,yes,14577570938,8427268,12778764,55
2020,West Virginia,yes,4294691890,1290508,14887448,19
2020,Wisconsin,yes,9846290921,1431179,16443724,10
2020,Wyoming,yes,692031455,443354,849322,4
2021,Alabama,yes,6830948902,1489864.74,3547133.22,10
2021,Alaska,yes,2301389622,1683157.58,2510076.10,12
2021,Arizona,yes,17907764164,4188609.56,2843073.29,28
2021,Arkansas,yes,7659817684,2835246.13,8090180.14,22
2021,California,yes,115690408869,44307262.15,72973624.08,186
2021,Colorado,yes,11185618422,2918882.90,7743642.33,20
2021,Connecticut,yes,7311806873,2435107.16,12652680.19,13
2021,Delaware,yes,2514092363,2173063.95,734355.38,17
2021,Florida,yes,28760456851,17793361.89,13071539.71,148
2021,Georgia,yes,12709068238,5276711.35,6415508.90,47
2021,Hawaii,yes,2898793908,1710085.13,1282971.92,14
2021,Idaho,yes,3007621707,914381.59,724021.72,9
2021,Illinois,yes,27950531219,9404958.18,12317688.97,49
2021,Indiana,yes,16079130856,7603299.59,9773660.10,59
2021,Iowa,yes,6071314469,852995.29,1765090.31,8
2021,Kansas,yes,4281483229,2357175.88,2492985.06,15
2021,Kentucky,yes,14803544906,4026385.72,20549679.41,32
2021,Louisiana,yes,13647030555,8465911.62,17043496.62,64
2021,Maine,yes,3505096838,1227463.29,4099341.75,9
2021,Maryland,yes,13947928487,4702440.15,16543233.82,33
2021,Massachusetts,yes,21064079886,6082329.14,33173697.77,39
2021,Michigan,yes,21340831168,6014701,10698548.66,30
2021,Minnesota,yes,15590649664,3478390.34,9150811.45,27
2021,Mississippi,yes,5923387274,3477579,5829451.72,35
2021,Missouri,yes,11871935492,2506866.56,4255232.92,22
2021,Montana,yes,2263516359,871803.71,813510,9
2021,Nebraska,yes,3254919749,1269594.72,1695220.24,11
2021,Nevada,yes,4931364852,2532485.28,3347791.44,17
2021,New Hampshire,yes,2497803826,751409.31,2041287.53,7
2021,New Jersey,yes,19957238404,4385099.71,11942472.99,31
2021,New Mexico,yes,7155993020,3143071.80,8565047.58,24
2021,New York,yes,73267974087,50917579.56,77077498.39,254
2021,North Carolina,yes,17700091176,6701349.20,120331089.25,47
2021,North Dakota,yes,1476249310,668514.74,133734.32,6
2021,Ohio,yes,28426566254,14171846.63,39905701.98,105
2021,Oklahoma,yes,5557090896,2260561.48,2813307.41,22
2021,Oregon,yes,11744178139,3004276.22,8901369.40,15
2021,Pennsylvania,yes,38236422291,10289239.05,33583686.18,72
2021,Rhode Island,yes,3177656762,1263015.25,3152410.89,10
2021,South Carolina,yes,7401541544,1649132.81,8180240.09,17
2021,South Dakota,yes,1059995110,480627.61,745993.93,5
2021,Tennessee,yes,11865100334,8021980.31,184558619.82,59
2021,Texas,yes,46867347267,21103472.18,394766168.51,156
2021,Utah,yes,3692743490,2531436,26924827.08,16
2021,Vermont,yes,1831974331,1150721.88,5000137,9
2021,Virginia,yes,12014392116,12551368.37,444355438.04,90
2021,Washington,yes,17816241636,8250587.80,3330927.38,48
2021,West Virginia,yes,4804270561,1624206.76,6311511.70,19
2021,Wisconsin,yes,10809161768,1487023.40,8280538,12
2021,Wyoming,yes,669526264,396986.46,1902142.70,4
2022,Alabama,yes,7406975790,1555296.99,2268562.67,9
2022,Alaska,yes,2592461510,1830614.14,87898.32,12
2022,Arizona,yes,20588622069,4222034.03,7727116.33,27
2022,Arkansas,yes,8975474497,3378171,42554066.21,22
2022,California,yes,125017780154,54820182.75,108517300.61,220
2022,Colorado,yes,12424415086,2626018.05,5940578.60,14
2022,Connecticut,yes,10025149152,2573386.26,27513822.65,12
2022,Delaware,yes,3239518726,2365514.48,1231771.69,17
