fiscal_year,jurisdiction,total_medicaid_expenditures,mfcu_grant_expenditures,total_recoveries,staff_on_board
2021,Florida,28760456851,17793361.89,13071539.71,148
2021,Georgia,12709068238,5276711.35,6415508.90,47
2021,Hawaii,2898793908,1710085.13,1282971.92,14
2021,Idaho,3007621707,914381.59,724021.72,9
2021,Illinois,27950531219,9404958.18,12317688.97,49
2021,Indiana,16079130856,7603299.59,9773660.10,59
2021,Iowa,6071314469,852995.29,1765090.31,8
2021,Kansas,4281483229,2357175.88,2492985.06,15
2021,Kentucky,14803544906,4026385.72,20549679.41,32
2021,Louisiana,13647030555,8465911.62,17043496.62,64
2021,Maine,3505096838,1227463.29,4099341.75,9
2021,Maryland,13947928487,4702440.15,16543233.82,33
2021,Massachusetts,21064079886,6082329.14,33173697.77,39
2021,Michigan,21340831168,6014701,10698548.66,30
2021,Minnesota,15590649664,3478390.34,9150811.45,27
2021,Mississippi,5923387274,3477579,5829451.72,35
2021,Missouri,11871935492,2506866.56,4255232.92,22
2021,Montana,2263516359,871803.71,813510,9
2021,Nebraska,3254919749,1269594.72,1695220.24,11
2021,Nevada,4931364852,2532485.28,3347791.44,17
2021,New Hampshire,2497803826,751409.31,2041287.53,7
2021,New Jersey,19957238404,4385099.71,11942472.99,31
2021,New Mexico,7155993020,3143071.80,8565047.58,24
2021,New York,73267974087,50917579.56,77077498.39,254
2021,North Carolina,17700091176,6701349.20,120331089.25,47
2021,North Dakota,1476249310,668514.74,133734.32,6
2021,Ohio,28426566254,14171846.63,39905701.98,105
2021,Oklahoma,5557090896,2260561.48,2813307.41,22
2021,Oregon,11744178139,3004276.22,8901369.40,15
2021,Pennsylvania,38236422291,10289239.05,33583686.18,72
2021,Rhode Island,3177656762,1263015.25,3152410.89,10
2021,South Carolina,7401541544,1649132.81,8180240.09,17
2021,South Dakota,1059995110,480627.61,745993.93,5
2021,Tennessee,11865100334,8021980.31,184558619.82,59
2021,Texas,46867347267,21103472.18,394766168.51,156
2021,Utah,3692743490,2531436,26924827.08,16
2021,Vermont,1831974331,1150721.88,5000137,9
2021,Virginia,12014392116,12551368.37,444355438.04,90
2021,Washington,17816241636,8250587.80,3330927.38,48
2021,West Virginia,4804270561,1624206.76,6311511.70,19
2021,Wisconsin,10809161768,1487023.40,8280538,12
2021,Wyoming,669526264,396986.46,1902142.70,4
2022,Alabama,7406975790,1555296.99,2268562.67,9
